"Notes"	"County"	"County Code"	Births
	"Genesee County, MI"	"26049"	5017
	"Ingham County, MI"	"26065"	3352
	"Jackson County, MI"	"26075"	1817
	"Kalamazoo County, MI"	"26077"	3028
	"Kent County, MI"	"26081"	8803
	"Livingston County, MI"	"26093"	1699
	"Macomb County, MI"	"26099"	9036
	"Monroe County, MI"	"26115"	1587
	"Muskegon County, MI"	"26121"	2159
	"Oakland County, MI"	"26125"	13381
	"Ottawa County, MI"	"26139"	3361
	"Saginaw County, MI"	"26145"	2264
	"St. Clair County, MI"	"26147"	1686
	"Washtenaw County, MI"	"26161"	3780
	"Wayne County, MI"	"26163"	23727
	"Unidentified Counties, MI"	"26999"	22162
	"Anoka County, MN"	"27003"	4066
	"Dakota County, MN"	"27037"	5102
	"Hennepin County, MN"	"27053"	15945
	"Olmsted County, MN"	"27109"	2218
	"Ramsey County, MN"	"27123"	7557
	"St. Louis County, MN"	"27137"	2061
	"Stearns County, MN"	"27145"	1928
	"Washington County, MN"	"27163"	2817
	"Unidentified Counties, MN"	"27999"	26715
	"DeSoto County, MS"	"28033"	2049
	"Harrison County, MS"	"28047"	2849
	"Hinds County, MS"	"28049"	3438
	"Jackson County, MS"	"28059"	1672
	"Rankin County, MS"	"28121"	2015
	"Unidentified Counties, MS"	"28999"	27837
	"Boone County, MO"	"29019"	2111
	"Clay County, MO"	"29047"	2995
	"Greene County, MO"	"29077"	3555
	"Jackson County, MO"	"29095"	9613
	"Jasper County, MO"	"29097"	1688
	"Jefferson County, MO"	"29099"	2662
	"St. Charles County, MO"	"29183"	4540
	"St. Louis County, MO"	"29189"	11934
	"St. Louis city, MO"	"29510"	4962
	"Unidentified Counties, MO"	"29999"	32057
	"Yellowstone County, MT"	"30111"	1975
	"Unidentified Counties, MT"	"30999"	10094
	"Douglas County, NE"	"31055"	8275
	"Lancaster County, NE"	"31109"	3950
	"Sarpy County, NE"	"31153"	2606
	"Unidentified Counties, NE"	"31999"	10889
	"Clark County, NV"	"32003"	26494
	"Washoe County, NV"	"32031"	5233
	"Unidentified Counties, NV"	"32999"	3569
	"Hillsborough County, NH"	"33011"	4525
	"Merrimack County, NH"	"33013"	1378
	"Rockingham County, NH"	"33015"	2534
	"Strafford County, NH"	"33017"	1267
	"Unidentified Counties, NH"	"33999"	3147
	"Atlantic County, NJ"	"34001"	3470
	"Bergen County, NJ"	"34003"	9142
	"Burlington County, NJ"	"34005"	4754
	"Camden County, NJ"	"34007"	6529
	"Cape May County, NJ"	"34009"	936
	"Cumberland County, NJ"	"34011"	2204
	"Essex County, NJ"	"34013"	10561
	"Gloucester County, NJ"	"34015"	3178
	"Hudson County, NJ"	"34017"	10355
	"Hunterdon County, NJ"	"34019"	953
	"Mercer County, NJ"	"34021"	4296
	"Middlesex County, NJ"	"34023"	9902
	"Monmouth County, NJ"	"34025"	6245
	"Morris County, NJ"	"34027"	4696
	"Ocean County, NJ"	"34029"	8132
	"Passaic County, NJ"	"34031"	7148
	"Somerset County, NJ"	"34035"	3387
	"Sussex County, NJ"	"34037"	1358
	"Union County, NJ"	"34039"	6836
	"Warren County, NJ"	"34041"	1068
	"Unidentified Counties, NJ"	"34999"	733
	"Bernalillo County, NM"	"35001"	8498
	"Dona Ana County, NM"	"35013"	3169
	"San Juan County, NM"	"35045"	1914
	"Santa Fe County, NM"	"35049"	1376
	"Unidentified Counties, NM"	"35999"	12332
	"Albany County, NY"	"36001"	3076
	"Bronx County, NY"	"36005"	21873
	"Broome County, NY"	"36007"	2060
	"Chautauqua County, NY"	"36013"	1425
	"Dutchess County, NY"	"36027"	2667
	"Erie County, NY"	"36029"	9711
	"Jefferson County, NY"	"36045"	2129
	"Kings County, NY"	"36047"	41823
	"Monroe County, NY"	"36055"	8444
	"Nassau County, NY"	"36059"	14090
	"New York County, NY"	"36061"	19707
	"Niagara County, NY"	"36063"	2126
	"Oneida County, NY"	"36065"	2667
	"Onondaga County, NY"	"36067"	5427
	"Ontario County, NY"	"36069"	1023
	"Orange County, NY"	"36071"	5076
	"Oswego County, NY"	"36075"	1352
	"Queens County, NY"	"36081"	30402
	"Rensselaer County, NY"	"36083"	1742
	"Richmond County, NY"	"36085"	5590
	"Rockland County, NY"	"36087"	4990
	"St. Lawrence County, NY"	"36089"	1241
	"Saratoga County, NY"	"36091"	2161
	"Schenectady County, NY"	"36093"	1821
	"Suffolk County, NY"	"36103"	16043
	"Ulster County, NY"	"36111"	1655
	"Westchester County, NY"	"36119"	10758
	"Unidentified Counties, NY"	"36999"	20233
	"Alamance County, NC"	"37001"	1674
	"Buncombe County, NC"	"37021"	2544
	"Cabarrus County, NC"	"37025"	2294
	"Catawba County, NC"	"37035"	1772
	"Cumberland County, NC"	"37051"	6070
	"Davidson County, NC"	"37057"	1747
	"Durham County, NC"	"37063"	4229
	"Forsyth County, NC"	"37067"	4580
	"Gaston County, NC"	"37071"	2567
	"Guilford County, NC"	"37081"	6045
	"Iredell County, NC"	"37097"	1746
	"Johnston County, NC"	"37101"	2277
	"Mecklenburg County, NC"	"37119"	13738
	"New Hanover County, NC"	"37129"	2251
	"Onslow County, NC"	"37133"	4371
	"Orange County, NC"	"37135"	1312
	"Pitt County, NC"	"37147"	2144
	"Randolph County, NC"	"37151"	1574
	"Robeson County, NC"	"37155"	1886
	"Rowan County, NC"	"37159"	1532
	"Union County, NC"	"37179"	2380
	"Wake County, NC"	"37183"	12457
	"Wayne County, NC"	"37191"	1728
	"Unidentified Counties, NC"	"37999"	37471
	"Cass County, ND"	"38017"	2262
	"Unidentified Counties, ND"	"38999"	7265
	"Allen County, OH"	"39003"	1275
	"Ashtabula County, OH"	"39007"	1152
	"Butler County, OH"	"39017"	4575
	"Clark County, OH"	"39023"	1617
	"Clermont County, OH"	"39025"	2321
	"Columbiana County, OH"	"39029"	1109
	"Cuyahoga County, OH"	"39035"	15005
	"Delaware County, OH"	"39041"	2101
	"Fairfield County, OH"	"39045"	1681
	"Franklin County, OH"	"39049"	18038
	"Greene County, OH"	"39057"	1778
	"Hamilton County, OH"	"39061"	11078
	"Lake County, OH"	"39085"	2278
	"Licking County, OH"	"39089"	1932
	"Lorain County, OH"	"39093"	3469
	"Lucas County, OH"	"39095"	5507
	"Mahoning County, OH"	"39099"	2313
	"Medina County, OH"	"39103"	1765
	"Montgomery County, OH"	"39113"	6587
	"Portage County, OH"	"39133"	1467
	"Richland County, OH"	"39139"	1380
	"Stark County, OH"	"39151"	4061
	"Summit County, OH"	"39153"	6166
	"Trumbull County, OH"	"39155"	2097
	"Warren County, OH"	"39165"	2463
	"Wayne County, OH"	"39169"	1534
	"Wood County, OH"	"39173"	1334
	"Unidentified Counties, OH"	"39999"	31835
	"Cleveland County, OK"	"40027"	3025
	"Comanche County, OK"	"40031"	2020
	"Oklahoma County, OK"	"40109"	11866
	"Tulsa County, OK"	"40143"	9199
	"Unidentified Counties, OK"	"40999"	26162
